Processing Log
Voxel128: 7.108540542511516e-09

glass_box: glass_box_0051
Slice64: 0.0047326527250528515
Slice128: 0.0023597896934300588
Voxel64: 8.497897356237166e-06
Voxel128: 8.497897356237166e-06

glass_box: glass_box_0034
Slice64: 0.006758457714910936
Slice128: 0.0027948944806577888
Voxel64: 3.639581483578429e-05
Voxel128: 3.639581483578429e-05

glass_box: glass_box_0106
Slice64: 0.0006756805973823683
Slice128: 0.0006756805973823683
Voxel64: 0.0021996799107522986
Voxel128: 0.0021996799107522986

glass_box: glass_box_0066
Slice64: 0.005034197687174034
Slice128: 0.0024648931010110096
Voxel64: 2.0272547113269157e-07
Voxel128: 2.0272547113269157e-07

glass_box: glass_box_0121
Slice64: 0.007276681833865548
Slice128: 0.002595523603963119
Voxel64: 0.0012573094251204858
Voxel128: 7.198909935200305e-06

glass_box: glass_box_0038
Slice64: 0.005161715039117874
Slice128: 0.0025939661186409058
Voxel64: 1.548474392427823e-05
Voxel128: 1.548474392427823e-05

glass_box: glass_box_0033
Slice64: 0.004434191373886917
Slice128: 0.0023993759403675577
Voxel64: 1.2484213956546298e-05
Voxel128: 1.2484213956546298e-05

glass_box: glass_box_0015
Slice64: 0.006758457714910936
Slice128: 0.0027948944806577888
Voxel64: 3.639581483578429e-05
Voxel128: 3.639581483578429e-05

glass_box: glass_box_0045
Slice64: 0.00766409307214589
Slice128: 0.0031289154123374527
Voxel64: 0.0012940725642714267
Voxel128: 4.17513923665958e-05

glass_box: glass_box_0094
Slice64: 0.007909888672899964
Slice128: 0.004108975109862937
Voxel64: 0.003693771098930989
Voxel128: 0.0037007706435289523

glass_box: glass_box_0053
Slice64: 0.006428693187819563
Slice128: 0.0032624073614224156
Voxel64: 0.00473768440547408
Voxel128: 0.0013698952782888055

glass_box: glass_box_0150
Slice64: 0.0057532833695156755
Slice128: 0.0028636803798477157
Voxel64: 0.0007773573133967893
Voxel128: 1.6163732338945618e-05

glass_box: glass_box_0008
Slice64: 0.004965515190799799
Slice128: 0.0025428984165308645
Voxel64: 1.2350661050621821e-05
Voxel128: 1.2350661050621821e-05

glass_box: glass_box_0117
Slice64: 8.833443157775501e-09
Slice128: 8.833443157775501e-09
Voxel64: 8.833443157775501e-09
Voxel128: 8.833443157775501e-09

glass_box: glass_box_0026
Slice64: 0.005728738365603621
Slice128: 0.002508392789158955
Voxel64: 0.002202557644036308
Voxel128: 1.3786012517402792e-05

glass_box: glass_box_0044
Slice64: 0.006199901026021066
Slice128: 0.0038417466416966733
Voxel64: 0.0017961604344057505
Voxel128: 1.4070520781093057e-05

glass_box: glass_box_0089
Slice64: 0.005898696360392541
Slice128: 0.0030793113664067504
Voxel64: 0.0020921261773054916
Voxel128: 0.001809991997173906

glass_box: glass_box_0158
Slice64: 0.0066811119886640204
Slice128: 0.003276043419074252
Voxel64: 0.007354928938748585
Voxel128: 0.004037893794187468

glass_box: glass_box_0111
Slice64: 0.002211380443627984
Slice128: 0.0011056915477588654
Voxel64: 8.070675325034207e-09
Voxel128: 8.070675325034207e-09

glass_box: glass_box_0105
Slice64: 0.0068565103123391724
Slice128: 0.003926023625611718
Voxel64: 0.004339115355648472
Voxel128: 0.002459972415348726

glass_box: glass_box_0166
Slice64: 0.006601934196742725
Slice128: 0.004255039042521055
Voxel64: 0.0032913389776561284
Voxel128: 0.0025378174206282145

glass_box: glass_box_0091
Slice64: 0.004425595924010543
Slice128: 0.002626905815024054
Voxel64: 6.61103112085378e-06
Voxel128: 6.61103112085378e-06

glass_box: glass_box_0127
Slice64: 0.007142786543821821
Slice128: 0.003258300658559885
Voxel64: 0.0038771148253935015
Voxel128: 0.0019239477100097323

glass_box: glass_box_0052
Slice64: 0.007909888672899964
Slice128: 0.004108975109862937
Voxel64: 0.003693771098930989
Voxel128: 0.0037007706435289523

glass_box: glass_box_0071
Slice64: 0.005034197687174034
Slice128: 0.0024648931010110096
Voxel64: 2.0272547113269157e-07
Voxel128: 2.0272547113269157e-07

glass_box: glass_box_0082
Slice64: 0.004946784544987673
Slice128: 0.0025680041761278064
Voxel64: 5.066826744020715e-06
Voxel128: 5.066826744020715e-06

glass_box: glass_box_0075
Slice64: 0.006096217708409927
Slice128: 0.00437825379284998
Voxel64: 1.4837113603628058e-05
Voxel128: 1.4837113603628058e-05

glass_box: glass_box_0060
Slice64: 0.006209909435855893
Slice128: 0.0022977272179170428
Voxel64: 0.0001942662913352124
Voxel128: 2.0085918177983545e-07

glass_box: glass_box_0081
Slice64: 0.005699806813345998
Slice128: 0.0030833269568901773
Voxel64: 0.0014312060329821046
Voxel128: 1.2228290938337257e-05

glass_box: glass_box_0040
Slice64: 0.009367587247535742
Slice128: 0.0024715933433319213
Voxel64: 0.0022881078218693887
Voxel128: 0.0005087968586420152

glass_box: glass_box_0049
Slice64: 0.005966384544662707
Slice128: 0.002480053863502859
Voxel64: 1.3873134765215921e-05
Voxel128: 1.3873134765215921e-05

glass_box: glass_box_0022
Slice64: 0.004453884609846148
Slice128: 0.0026116289065139333
Voxel64: 6.62460863077167e-05
Voxel128: 6.62460863077167e-05

glass_box: glass_box_0134
Slice64: 0.007050325100380769
Slice128: 0.0033755583846286226
Voxel64: 0.004460685440890903
Voxel128: 0.001013632299432115

glass_box: glass_box_0050
Slice64: 0.006455810490548323
Slice128: 0.002787021883376031
Voxel64: 2.1327502166957703e-05
