Processing Log
glass_box: glass_box_0009
Slice64: 0.004851529161044781
Slice128: 0.0024214882832050795
Voxel64: 2.155238982578608e-07
Voxel128: 2.155238982578608e-07

glass_box: glass_box_0014
Slice64: 0.0056049422539730664
Slice128: 0.002762871344029602
Voxel64: 1.9081321327255547e-05
Voxel128: 1.9081321327255547e-05

glass_box: glass_box_0113
Slice64: 0.0007891858229096524
Slice128: 0.0003945962642005905
Voxel64: 7.108540542511515e-09
Voxel128: 7.108540542511515e-09

glass_box: glass_box_0051
Slice64: 0.004638624431754592
Slice128: 0.002379567840038178
Voxel64: 1.0779569832742039e-05
Voxel128: 1.0779569832742039e-05

glass_box: glass_box_0034
Slice64: 0.007248251222627372
Slice128: 0.002874436132913613
Voxel64: 3.847310804346793e-05
Voxel128: 3.847310804346793e-05

glass_box: glass_box_0106
Slice64: 0.0007148314063274723
Slice128: 0.0007148314063274723
Voxel64: 0.0039346041791175415
Voxel128: 0.0039346041791175415

glass_box: glass_box_0066
Slice64: 0.004851529161044781
Slice128: 0.0024214882832050795
Voxel64: 2.155238982578608e-07
Voxel128: 2.155238982578608e-07

glass_box: glass_box_0121
Slice64: 0.00830201356298455
Slice128: 0.002711184874684681
Voxel64: 0.002013278739647187
Voxel128: 7.805863028305174e-06

glass_box: glass_box_0038
Slice64: 0.004899811115002595
Slice128: 0.0025679546482384893
Voxel64: 1.9725631352655325e-05
Voxel128: 1.9725631352655325e-05

glass_box: glass_box_0033
Slice64: 0.0042720660385845224
Slice128: 0.002344111128994708
Voxel64: 1.585111687650729e-05
Voxel128: 1.585111687650729e-05

glass_box: glass_box_0015
Slice64: 0.007248251222627372
Slice128: 0.002874436132913613
Voxel64: 3.847310804346793e-05
Voxel128: 3.847310804346793e-05

glass_box: glass_box_0045
Slice64: 0.008757346933188219
Slice128: 0.003219878237411425
Voxel64: 0.0020084803706265043
Voxel128: 4.490111810634704e-05

glass_box: glass_box_0094
Slice64: 0.009277959354227722
Slice128: 0.005044272921696198
Voxel64: 0.0059818844437871
Voxel128: 0.006000622666613504

glass_box: glass_box_0053
Slice64: 0.007286939459385451
Slice128: 0.003572641902495172
Voxel64: 0.00810489437249978
Voxel128: 0.0021607315412023012

glass_box: glass_box_0150
Slice64: 0.005946392305305827
Slice128: 0.0028993565040229333
Voxel64: 0.0011789585704055278
Voxel128: 2.057031591257285e-05

glass_box: glass_box_0008
Slice64: 0.004818460780929165
Slice128: 0.0025084142691218186
Voxel64: 1.570973961119001e-05
Voxel128: 1.570973961119001e-05

glass_box: glass_box_0117
Slice64: 8.833443157775501e-09
Slice128: 8.833443157775501e-09
Voxel64: 8.833443157775501e-09
Voxel128: 8.833443157775501e-09

glass_box: glass_box_0026
Slice64: 0.006121261527546373
Slice128: 0.002488609575309202
Voxel64: 0.003473946646988842
Voxel128: 1.4960108545726912e-05

glass_box: glass_box_0044
Slice64: 0.006476987598257197
Slice128: 0.004253687847343069
Voxel64: 0.0029558020979282592
Voxel128: 1.7921823709784988e-05

glass_box: glass_box_0089
Slice64: 0.00603246599052867
Slice128: 0.00318922004730841
Voxel64: 0.0032776689396503125
Voxel128: 0.0028079955328230042

glass_box: glass_box_0158
Slice64: 0.00820349989747253
Slice128: 0.003998970723049748
Voxel64: 0.014392728620119881
Voxel128: 0.007663024790812179

glass_box: glass_box_0111
Slice64: 0.001769105969037452
Slice128: 0.0008845548523421573
Voxel64: 8.070675325034207e-09
Voxel128: 8.070675325034207e-09

glass_box: glass_box_0105
Slice64: 0.007473734388774672
Slice128: 0.004665634680584442
Voxel64: 0.007493431197744649
Voxel128: 0.004051266726198836

glass_box: glass_box_0166
Slice64: 0.007677071645111861
Slice128: 0.005208887213397976
Voxel64: 0.00543123479517709
Voxel128: 0.004083715280619212

glass_box: glass_box_0091
Slice64: 0.004637781250490913
Slice128: 0.0027151823956076573
Voxel64: 8.385543168612048e-06
Voxel128: 8.385543168612048e-06

glass_box: glass_box_0127
Slice64: 0.008621261808281794
Slice128: 0.003665179318335623
Voxel64: 0.0064832253369022765
Voxel128: 0.0030237949200973826

glass_box: glass_box_0052
Slice64: 0.009277959354227722
Slice128: 0.005044272921696198
Voxel64: 0.0059818844437871
Voxel128: 0.006000622666613504

glass_box: glass_box_0071
Slice64: 0.004851529161044781
Slice128: 0.0024214882832050795
Voxel64: 2.155238982578608e-07
Voxel128: 2.155238982578608e-07

glass_box: glass_box_0082
Slice64: 0.004818152052120649
Slice128: 0.0025181063496708435
Voxel64: 5.530620639104835e-06
Voxel128: 5.530620639104835e-06

glass_box: glass_box_0075
Slice64: 0.006087705650594396
Slice128: 0.005049027561403592
Voxel64: 1.7934631543143978e-05
Voxel128: 1.7934631543143978e-05

glass_box: glass_box_0060
Slice64: 0.006624380894237095
Slice128: 0.002239760207986473
Voxel64: 0.0002918798888155896
Voxel128: 2.1350542798086404e-07

glass_box: glass_box_0081
Slice64: 0.005553996343053909
Slice128: 0.0031871457228611786
Voxel64: 0.002191786369362641
Voxel128: 1.554299588740367e-05

glass_box: glass_box_0040
Slice64: 0.011594437021682315
Slice128: 0.0025029633765402083
Voxel64: 0.003763313492912982
Voxel128: 0.0007612624404259225

glass_box: glass_box_0049
Slice64: 0.0058528956352147995
Slice128: 0.0025346347628938284
Voxel64: 1.4349373968971913e-05
Voxel128: 1.4349373968971913e-05

glass_box: glass_box_0022
Slice64: 0.004582353960493524
Slice128: 0.002674594385454085
Voxel64: 7.387291621055762e-05
Voxel128: 7.387291621055762e-05

glass_box: glass_box_0134
Slice64: 0.008233701240507029
Slice128: 0.0036604019788943004
Voxel64: 0.007381488837734863
Voxel128: 0.001535040213715322

glass_box: glass_box_0050
Slice64: 0.006644209482136356
Slice128: 0.0027956615672185387
Voxel64: 2.1995705063064805e-05
Voxel128: 2.1995705063064805e-05

glass_box: glass_box_0147
Slice64: 0.005079324187899811
Slice128: 0.002384074691749223
Voxel64: 0.012604436046327936
Voxel128: 0.0023280709447396535

glass_box: glass_box_0087
Slice64: 0.006985125412064695
Slice128: 0.003079831579264264
Voxel64: 5.936423155554036e-05
Voxel128: 5.936423155554036e-05

glass_box: glass_box_0156
Slice64: 0.00550364333204677
Slice128: 0.0025330218777775584
Voxel64: 0.00035125856420417846
Voxel128: 0.00022950486445600724

glass_box: glass_box_0001
Slice64: 0.004637781250490913
Slice128: 0.0027151823956076573
Voxel64: 8.385543168612048e-06
Voxel128: 8.385543168612048e-06

glass_box: glass_box_0037
